Pagina,Criptomoneda,Precio
1,Bitcoin,"$68,144.78"
1,Ethereum,"$2,101.98"
1,Tether,$0.9991
1,BNB,$616.18
1,XRP,$1.35
1,USDC,$0.9997
1,Solana,$83.38
1,TRON,$0.316
1,Figure Heloc,$1.03
1,Dogecoin,$0.09241
1,USDS,$0.9996
1,WhiteBIT Coin,$52.25
1,Bitcoin Cash,$462.42
1,LEO Token,$10.03
1,Cardano,$0.2455
1,Hyperliquid,$36.40
1,Chainlink,$8.82
1,Monero,$332.30
1,Ethena USDe,$0.9995
1,Stellar,$0.1696
1,Canton,$0.1467
1,Dai,$0.9997
1,USD1,$0.9993
1,Litecoin,$54.05
1,MemeCore,$2.33
1,Zcash,$244.28
1,PayPal USD,$1
1,Avalanche,$8.95
1,Rain,$0.008073
1,Hedera,$0.08911
1,Shiba Inu,$0.05594
1,Sui,$0.8812
1,Toncoin,$1.22
1,Cronos,$0.07071
1,Bittensor,$304.90
1,World Liberty Financial,$0.09884
1,Circle USYC,$1.12
1,Tether Gold,"$4,651.00"
1,PAX Gold,"$4,667.37"
1,Mantle,$0.6947
1,Uniswap,$3.57
1,BlackRock USD Institutional Digital Liquidity Fund,$1.00
1,Polkadot,$1.26
1,Global Dollar,$0.9998
1,OKB,$83.95
1,Sky,$0.07536
1,Falcon USD,$0.9972
1,Pi Network,$0.1748
1,Aster,$0.6718
1,HTX DAO,$0.051702
1,NEAR Protocol,$1.19
1,Aave,$98.04
1,Pepe,$0.053413
1,Bitget Token,$1.94
1,Ondo,$0.2745
1,BFUSD,$0.9989
1,Ondo US Dollar Yield,$1.12
1,Ethereum Classic,$8.16
1,Internet Computer,$2.27
1,Ripple USD,$0.9998
1,Janus Henderson Anemoy Treasury Fund,$1.10
1,Gate,$6.59
1,USDD,$0.9998
1,KuCoin,$8.15
1,Quant,$69.52
1,POL (ex-MATIC),$0.09295
1,Pump.fun,$0.001663
1,Spiko EU T-Bills Money Market Fund,$1.21
1,Render,$1.78
1,Worldcoin,$0.2794
1,Kaspa,$0.03262
1,Algorand,$0.09936
1,NEXO,$0.8723
1,USDtb,$0.9999
1,Morpho,$1.55
1,Cosmos Hub,$1.70
1,Superstate Short Duration U.S. Government Securities Fund (USTB),$11.04
1,Midnight,$0.04744
1,Ethena,$0.0913
1,Aptos,$0.8981
1,Official Trump,$3.00
1,Flare,$0.007876
1,Provenance Blockchain,$0.01137
1,Filecoin,$0.8319
1,Stable,$0.02867
1,OUSG,$114.77
1,YLDS,$0.9999
1,XDC Network,$0.03057
1,Beldex,$0.08004
1,GHO,$0.9991
1,VeChain,$0.006784
1,Jupiter,$0.1605
1,Arbitrum,$0.09322
1,Usual USD,$1.00
1,JUST,$0.06124
1,Artificial Superintelligence Alliance,$0.2304
1,Bonk,$0.055887
1,TrueUSD,$0.9976
1,A7A5,$0.0123
1,LayerZero,$1.89
2,PancakeSwap,$1.39
2,Fasttoken,$1.09
2,Virtuals Protocol,$0.6613
2,Chiliz,$0.0413
2,Dash,$32.82
2,Stacks,$0.2258
2,EURC,$1.16
2,Pudgy Penguins,$0.006525
2,Janus Henderson Anemoy AAA CLO Fund,$1.03
2,First Digital USD,$0.9982
2,Tezos,$0.3516
2,Ether.fi,$0.4744
2,PRIME,$1.03
2,DeXe,$7.80
2,Kinesis Gold,$150.53
2,USX,$0.9993
2,Decred,$20.43
2,Sei,$0.05155
2,Sun Token,$0.01791
2,ADI,$4.20
2,Gnosis,$123.27
2,Curve DAO,$0.2178
2,AINFT,$0.063253
2,River,$15.94
2,BitTorrent,$0.063144
2,Venice Token,$6.86
2,USDai,$0.9996
2,Aerodrome Finance,$0.3251
2,Injective,$2.87
2,Kinesis Silver,$74.38
2,Lido DAO,$0.3301
2,Bitcoin SV,$13.89
2,Conflux,$0.05352
2,DoubleZero,$0.07954
2,Kaia,$0.04697
2,Legacy Frax Dollar,$0.9922
2,FLOKI,$0.00002791
2,Monad,$0.02482
2,JasmyCoin,$0.005413
2,Kite,$0.1479
2,Celestia,$0.2951
2,crvUSD,$0.9979
2,Official FO,$0.2629
2,The Graph,$0.02436
2,Ape and Pepe,$0.051193
2,SPX6900,$0.2684
2,Olympus,$15.86
2,Maple Finance,$0.2083
2,IOTA,$0.05507
2,Optimism,$0.1104
2,Zebec Network,$0.002351
2,BTSE Token,$1.40
2,Pyth Network,$0.03918
2,Plasma,$0.09415
2,Ethereum Name Service,$5.67
2,USDa,$0.9837
2,edgeX,$0.6173
2,AUSD,$0.9998
2,Undeads Games,$1.72
2,Lighter,$0.8563
2,The9bit,$0.02608
2,Blockchain Capital,$23.01
2,BUILDon,$0.2073
2,The Sandbox,$0.07665
2,Terra Luna Classic,$0.00003659
2,Helium,$1.08
2,Telcoin,$0.00209
2,Starknet,$0.03481
2,Axie Infinity,$1.16
2,Siren,$0.2646
2,Vision,$0.05238
2,NEO,$2.69
2,Tradable NA Rent Financing Platform SSTN,$1.00
2,Re Protocol reUSD,$1.07
2,Pendle,$1.12
2,Story,$0.5272
2,SwissBorg,$0.1891
2,RealLink,$0.05786
2,Onyxcoin,$0.004861
2,Neutrl USD,$0.9995
2,dogwifhat,$0.1805
2,WeFi,$2.19
2,Raydium,$0.6511
2,Spiko US T-Bills Money Market Fund,$1.08
2,Fartcoin,$0.1731
2,ZKsync,$0.0177
2,Compound,$17.30
2,Decentraland,$0.08626
2,Fidelity Digital Interest Token,$1.00
2,MX,$1.79
2,Falcon Finance,$0.07034
2,AB,$0.001658
2,KOGE,$47.96
2,Convex Finance,$1.80
2,Walrus,$0.07127
2,Grass,$0.2822
2,Satoshi Stablecoin,$0.9941
2,Sonic,$0.04127
2,Humanity,$0.08473
2,STASIS EURO,$1.23
3,Flying Tulip,$0.09694
3,GUSD,$1.00
3,Qubic,$0.051097
3,Theta Network,$0.1497
3,Trust Wallet,$0.3547
3,Zano,$9.62
3,Onchain Yield Coin,$1.09
3,Basic Attention,$0.09702
3,THORChain,$0.412
3,Circle Internet Group (Ondo Tokenized Stock),$97.10
3,SafePal,$0.2817
3,GALA,$0.00295
3,Quantum Resistant Ledger,$1.73
3,eCash,$0.056746
3,Ultima,"$3,534.76"
3,Theo Short Duration US Treasury Fund,$1.02
3,Apollo Diversified Credit Securitize Fund,"$1,091.17"
3,Banana For Scale,$0.01303
3,Aethir,$0.00702
3,Akash Network,$0.4909
3,Fluid,$1.64
3,Golem,$0.128
3,1INCH,$0.09041
3,Avant USD,$0.9992
3,SoSoValue,$0.4051
3,OriginTrail,$0.2817
3,Sentient,$0.01738
3,Jito,$0.2766
3,Ozone Chain,$0.131
3,GEKKO,$0.066229
3,Vaulta,$0.0765
3,Chutes,$26.39
3,CASH,$1.00
3,Aster USDF,$0.9974
3,Shuffle,$0.3074
3,Frax USD,$0.9997
3,Pleasing USD,$0.9907
3,Immutable,$0.1409
3,GoMining Token,$0.2909
3,WEMIX,$0.2527
3,InfiniFi USD,$0.9997
3,Pieverse,$0.5347
3,CoW Protocol,$0.2052
3,Tradable Singapore Fintech SSL,$1.00
3,EigenCloud (prev. EigenLayer),$0.1654
3,Arweave,$1.73
3,Seeker,$0.01851
3,MultiversX,$3.79
3,EUR CoinVertible,$1.16
3,Tokenize Xchange,$1.37
3,Melania Meme,$0.1138
3,JUSD,$0.9991
3,0G,$0.4966
3,BitMart,$0.3111
3,Lombard,$0.3492
3,Ribbita by Virtuals,$0.1052
3,Impossible Cloud Network Token,$0.415
3,Rollbit Coin,$0.06129
3,Securitize Tokenized AAA CLO Fund,"$1,009.30"
3,Livepeer,$2.10
3,Berachain,$0.4486
3,Gas,$1.57
3,Synthetix,$0.2934
3,MNEE USD Stablecoin,$0.9998
3,Ring USD,$0.9995
3,Nexus Mutual,$54.39
3,Unity USD,$0.9991
3,Horizen,$5.55
3,Precious Metals USD,$0.992
3,StandX DUSD,$0.9962
3,KAITO,$0.4095
3,USDu,$0.9993
3,Cap USD,$1.01
3,Ravencoin,$0.005919
3,Keeta,$0.1864
3,AWE Network,$0.04918
3,Reserve Rights,$0.001522
3,τemplar,$22.15
3,XDAI,$0.9998
3,Qtum,$0.8737
3,Centrifuge,$0.1588
3,Four,$0.2347
3,Brazilian Digital,$0.1917
3,yearn.finance,"$2,487.60"
3,USDA,$0.9968
3,Pleasing Gold,"$4,495.12"
3,ViciCoin,$18.10
3,GRX Chain,$9.19
3,Beam,$0.001708
3,0x Protocol,$0.1025
3,LoveBit,$0.062066
3,Amp,$0.001028
3,Cheems Token,$0.064253
3,INI,$0.108
3,dYdX,$0.1023
3,ApeCoin,$0.08598
3,Targon,$19.08
3,JupUSD,$1.00
3,Theta Fuel,$0.01132
3,Wiki Cat,$0.061522
