categoria,simbolo,nombre,precio,cambio,porcentaje,volumen
losers,FLY,Firefly Aerospace Inc.,,23.70,-3.10,-11.58%
losers,YOU,"Clear Secure, Inc.",,47.44,-5.96,-11.16%
losers,ASTS,"AST SpaceMobile, Inc.",,78.67,-9.19,-10.46%
losers,HNGE,"Hinge Health, Inc.",,36.25,-3.93,-9.78%
losers,ZETA,Zeta Global Holdings Corp.,,14.55,-1.53,-9.51%
losers,MMYT,MakeMyTrip Limited,,36.30,-3.70,-9.25%
losers,COCO,"The Vita Coco Company, Inc.",,46.97,-4.71,-9.11%
losers,WRD,WeRide Inc.,,6.95,-0.68,-8.97%
losers,LUNR,"Intuitive Machines, Inc.",,17.52,-1.71,-8.89%
losers,FIG,"Figma, Inc.",,20.19,-1.96,-8.85%
losers,NTSK,"Netskope, Inc.",,7.73,-0.75,-8.84%
losers,ELF,"e.l.f. Beauty, Inc.",,61.05,-5.83,-8.72%
losers,HPP,"Hudson Pacific Properties, Inc.",,5.60,-0.53,-8.65%
losers,CRBG,"Corebridge Financial, Inc.",,22.30,-2.11,-8.64%
losers,RIOT,"Riot Platforms, Inc.",,12.80,-1.20,-8.60%
losers,VCYT,"Veracyte, Inc.",,30.01,-2.79,-8.51%
losers,EQH,"Equitable Holdings, Inc.",,35.34,-3.19,-8.28%
losers,ENLT,Enlight Renewable Energy Ltd,,65.99,-5.95,-8.27%
losers,GLXY,Galaxy Digital,,18.00,-1.61,-8.21%
losers,SEZL,Sezzle Inc.,,61.58,-5.45,-8.13%
losers,FOUR,"Shift4 Payments, Inc.",,44.48,-3.93,-8.12%
losers,LMND,"Lemonade, Inc.",,60.70,-5.29,-8.02%
losers,DNLI,Denali Therapeutics Inc.,,18.16,-1.58,-7.98%
losers,KNF,Knife River Corporation,,80.20,-6.90,-7.92%
losers,DDOG,"Datadog, Inc.",,114.48,-9.82,-7.90%
