categoria,simbolo,nombre,precio,cambio,porcentaje,volumen
most_active,NVDA,NVIDIA Corporation,,167.52,-3.72,-2.17%
most_active,INTC,Intel Corporation,,43.13,-0.97,-2.20%
most_active,GRAB,Grab Holdings Limited,,3.57,-0.14,-3.77%
most_active,TSLA,"Tesla, Inc.",,361.83,-10.28,-2.76%
most_active,NU,Nu Holdings Ltd.,,13.60,-0.42,-3.00%
most_active,ONDS,Ondas Inc.,,8.80,-0.63,-6.71%
most_active,AMZN,"Amazon.com, Inc.",,199.34,-8.34,-4.02%
most_active,SOFI,"SoFi Technologies, Inc.",,15.23,-0.64,-4.03%
most_active,U,Unity Software Inc.,,19.45,+2.32,+13.54%
most_active,BMNR,"Bitmine Immersion Technologies, Inc.",,18.39,-1.08,-5.55%
most_active,PLUG,Plug Power Inc.,,2.18,-0.07,-3.11%
most_active,SNAP,Snap Inc.,,3.93,-0.08,-2.00%
most_active,NOK,Nokia Oyj,,7.98,-0.30,-3.62%
most_active,MARA,"MARA Holdings, Inc.",,8.02,-0.56,-6.53%
most_active,AAPL,Apple Inc.,,248.80,-4.09,-1.62%
most_active,AAL,American Airlines Group Inc.,,10.30,-0.41,-3.83%
most_active,MU,"Micron Technology, Inc.",,357.22,+1.65,+0.46%
most_active,NFLX,"Netflix, Inc.",,93.43,+0.11,+0.12%
most_active,CCL,Carnival Corporation & plc,,24.19,-1.09,-4.31%
most_active,RIG,Transocean Ltd.,,6.93,+0.04,+0.58%
most_active,T,AT&T Inc.,,29.10,+0.18,+0.62%
most_active,MSFT,Microsoft Corporation,,356.77,-9.20,-2.51%
most_active,NIO,NIO Inc.,,5.31,-0.25,-4.50%
most_active,BAC,Bank of America Corporation,,46.97,-1.27,-2.63%
most_active,GOOGL,Alphabet Inc.,,274.34,-6.62,-2.36%
